DATE;RAIN;TMPF;DEWF;RAINF;LPZF;KPZF
2000-01-01;0;0.0;0.0;0;0.0;0.0
2000-01-02;0;-17.21;-24.11;0;0.0;0.0
2000-01-03;0;-17.91;-22.01;0;0.0;0.0
2000-01-04;0;-7.01;-9.51;52;0.0;0.0
2000-01-05;0;-8.61;-12.41;25;0.0;0.0
2000-01-10;0;-14.51;-19.61;14;0.0;0.0
2000-01-11;0;-14.91;-18.31;1;0.0;0.0
2000-01-12;0;-16.11;-20.31;0;0.0;0.0
2000-01-13;0;-20.41;-26.11;0;0.0;0.0
2000-01-14;0;-17.61;-23.51;0;0.0;0.0
2000-01-16;0;-18.31;-26.21;0;0.0;0.0
2000-01-17;0;-18.31;-26.21;0;0.0;0.0
2000-01-18;0;-23.51;-28.31;0;0.0;0.0
2000-01-19;0;-23.21;-27.91;0;0.0;0.0
2000-01-20;0;-21.01;-25.91;0;0.0;0.0
2000-01-21;0;-18.31;-23.31;0;0.0;0.0
2000-01-22;0;-21.01;-27.71;0;0.0;0.0
2000-01-23;0;-16.01;-23.01;0;0.0;0.0
2000-01-24;0;-21.01;-26.71;0;0.0;0.0
2000-01-25;0;-19.81;-26.51;0;0.0;0.0
2000-01-26;0;-22.51;-31.21;0;0.0;0.0
2000-01-27;0;-18.91;-25.71;0;0.0;0.0
2000-01-28;0;-6.92;-17.51;0;0.0;0.0
2000-01-29;0;-13.51;-19.61;0;0.0;0.0
2000-01-30;0;-14.41;-19.51;0;0.0;0.0
2000-01-31;0;-16.31;-20.51;0;0.0;0.0
2000-02-01;0;-7.71;-19.91;0;0.0;0.0
2000-02-02;0;-2.51;-14.81;0;0.0;0.0
2000-02-03;0;-8.31;-16.61;0;0.0;0.0
2000-02-04;0;-9.31;-15.51;0;0.0;0.0
2000-02-05;0;-13.01;-18.21;0;0.0;0.0
2000-02-06;0;-8.91;-17.51;0;0.0;0.0
2000-02-07;0;-12.41;-18.61;0;0.0;0.0
2000-02-08;0;-10.51;-20.11;0;0.0;0.0
