indx;name;lat;lon
20594;Озеро Таймыр;74.59;101.41
20667;Им. М.В. Попова;73.33;70.05
20674;Остров Диксон;73.5;80.4
20679;Усть-Тарея;73.22;89.72
20696;М.Косистый;73.67;109.73
20864;Тамбей;71.5;71.83
20871;Сопочная Карга;71.86;82.7
20891;Хатанга;71.98;102.46
20963;Гыдоямо;70.88;78.46
20973;Кресты Таймырские;70.86;89.89
21504;Остров Преображения;74.66;112.92
21715;Таймылыр;72.61;122.1
21749;Китисно;72.26;148.71
21802;Саскылах;71.96;114.08
21824;Тикси;71.58;128.91
21835;Нижнеянск;71.57;136.25
21946;Чокурдах;70.61;147.88
21955;Алазея;70.82;153.73
22095;Колгуев Северный;69.53;49.08
22113;Мурманск;68.96;33.05
22349;Пялица;66.16;39.53
22383;Нижняя Пеша;66.75;47.76
22422;Гридино;65.9;34.76
22471;Мезень;65.86;44.21
22550;Архангельск;64.58;40.5
22563;Пинега;64.7;43.38
22583;Койнас;64.75;47.65
22621;Сегежа;63.73;34.3
22641;Онега;63.9;38.11
22676;Сура;63.58;45.63
22762;Двинский Березняк;62.86;42.71
22768;Шенкурск;62.1;42.9
22778;Верхняя Тойма;62.23;45.03
22798;Яренск;62.16;49.08
22820;Петрозаводск;61.81;34.26
22845;Каргополь;61.5;38.93
22867;Вельск;61.08;42.11
22887;Котлас;61.23;46.63
22974;Нюксеница;60.24;44.15
22981;Великий Устюг;60.76;46.29
22996;Обьячево;60.36;49.65
23022;Амдерма;69.75;61.7
23032;Марресаля;69.71;66.8
23074;Дудинка;69.4;86.16
23103;Ходовариха;68.93;53.76
23112;Варандей;68.49;58.01
23121;Коротаиха;68.46;61.26
23146;М.Каменный;68.47;73.6
23174;Потапово;68.4;86.15
23205;Нарьян-Мар;67.63;53.03
23226;Воркута;67.48;64.01
23242;Новый Порт;67.69;72.94
23256;Тазовск;67.46;78.73
23330;Салехард;66.53;66.53
23333;Салемал;66.8;68.81
23345;Ныда;66.63;72.96
23365;Сидоровск;66.6;82.3
23383;Агата;66.88;93.46
23405;Усть-Цильма;65.44;52.16
23418;Печора;65.11;57.1
23445;Надым;65.53;72.51
23472;Туруханск;65.78;87.93
23499;Тембенчи;64.57;98.54
23501;Левкинская;64.46;51.05
23518;Усть-Шугор;64.16;57.37
23552;Тарко-Сале;64.91;77.81
23578;Верещагино;64.23;87.46
23606;Ухта;63.56;53.71
23625;Сосьва;63.65;61.98
23632;Казым;63.71;67.23
23662;Толька;63.98;82.08
23691;Учами;63.81;96.45
23701;Весляна;62.98;50.9
23711;Троицко-Печорское;62.7;56.2
23788;Кузьмовка;62.31;92.11
23803;Усть-Кулом;61.68;53.68
23804;Сыктывкар;61.66;50.85
23849;Сургут;61.25;73.5
23859;Лобчинское;61.04;78.54
23904;Койгородок;60.27;50.58
23909;Гайны;60.28;54.3
23914;Чердынь;60.4;56.51
23921;Ивдель;60.68;60.45
23933;Ханты-Мансийск;60.96;69.06
23955;Александровское;60.43;77.86
23966;Ванжиль-Кынак;60.35;84.08
23975;Сым;60.35;88.36
23992;Усть-Камо;60.71;97.51
24052;Саханджа;69.8;128.2
24105;Ессей;68.46;102.36
24125;Оленек;68.5;112.43
24143;Джарджан;68.73;124
24166;Янск;68.44;134.79
24329;Шелагонцы;66.25;114.28
24343;Жиганск;66.76;123.4
24382;Усть-Мома;66.45;143.23
24507;Тура;64.16;100.06
24561;Сурен-Кюель;65;130.68
24598;Дарпир;64.09;148.03
24629;Сюльджюкар;63.21;113.63
24639;Нюрба;63.28;118.33
24641;Вилюйскк;63.76;121.61
24652;Сангары;63.96;127.46
24668;Верхоянский Перевоз;63.31;132.01
24671;Томпо;63.95;135.86
24688;Оймякон;63.25;143.15
24724;Чернышевский;63.03;112.5
24738;Сунтар;62.15;117.65
24817;Ербогачен;61.26;108.01
24871;Охотский Перевоз;61.86;135.5
24891;Кулу;61.9;147.41
24908;Ванавара;60.33;102.26
24923;Ленск;60.71;114.88
24944;Олекминск;60.4;120.41
24959;Якутск;62.08;129.75
24966;Усть-Мая;60.38;134.45
24982;Уега;60.71;142.78
25017;Андрюшкино;69.16;154.5
25044;Серов;69.5;166.56
25051;Певек;69.69;170.25
25052;Певека;69.8;170.6
25123;Черский;68.8;161.28
25282;Мыс Ванкарем;67.83;-175.9
25325;Усть-Олой;66.55;159.41
25356;Эньмувеем;66.38;173.33
25378;Эгвекинот;66.35;-179.11
25399;Уэлен;66.16;-169.84
25428;Омолон;65.23;160.53
25449;Ерополь;65.26;168.67
25503;Коркодон;64.75;153.96
25538;Верхне-Пенжино;64.13;164.58
25551;Марково;64.68;170.41
25563;Анадырь;64.78;177.56
25594;Бухта Провидения;64.41;-173.23
25621;Кедон;64;158.91
25656;Березово;63.44;172.69
25677;Беринговская;63.05;179.32
25703;Сеймчан;62.91;152.41
25767;Хатырка;62.05;175.2
25821;Наяхан;61.92;158.98
25902;Атка;60.85;151.77
25913;Магадан;59.58;150.78
25932;Тайгонос;60.68;160.39
25954;Корф;60.35;166
25956;Апука;60.42;169.58
26063;Санкт-Петербург;59.96;30.3
26179;Новгород;58.51;31.28
26258;Псков;57.83;28.35
26477;Великие Луки;56.38;30.6
26702;Калининград;54.7;20.61
26781;Смоленск;54.75;32.06
26898;Брянск;53.33;34.23
27037;Вологда;59.28;39.86
27051;Тотьма;59.96;42.75
27083;Опарино;59.85;48.28
27097;Мураши;59.23;48.59
27113;Череповец;59.11;37.93
27199;Киров;58.6;49.63
27225;Рыбинск;58;38.83
27242;Буй;58.48;41.53
27271;Шарья;58.36;45.53
27283;Котельнич;58.3;48.35
27330;Ярославль;57.58;39.91
27333;Кострома;57.73;40.95
27347;Иваново;56.95;40.93
27355;Юрьевец;57.33;43.11
27402;Тверь;56.83;35.9
27417;Клин;56.31;36.75
27419;Дмитров;56.35;37.56
27459;Нижний Новгород;56.26;44
27479;Козьмодемьянск;56.35;46.56
27485;Йошкар-Ола;56.63;47.83
27502;Волоколамск;56.01;35.93
27511;Н.-Иерусалим;55.9;36.81
27514;Шереметьево;55.96;37.41
27523;Пав.Посад;55.76;38.68
27524;Внуково;55.55;37.25
27527;Быково;55.63;38.06
27532;Владимир;56.13;40.38
27538;Черусти;55.55;40.01
27581;Чебоксары;56.15;47.28
27595;Казань;55.78;49.18
27611;Наро-Фоминск;55.38;36.75
27612;Москва (Ввц);55.75;37.56
27613;Домодедово;55.4;37.9
27618;Серпухов;54.93;37.46
27623;Егорьевск;55.38;39.01
27625;Коломна;55.13;38.73
27627;Кашира;54.83;38.15
27629;Третьяково;54.93;39.05
27648;Елатьма;54.95;41.76
27703;Калуга;54.56;36.36
27719;Тула;54.2;37.65
27730;Рязань I;54.63;39.7
27760;Саранск;54.18;45.18
27786;Ульяновск;54.28;48.25
27857;Заметчино;53.48;42.63
27906;Орел;53;36.03
27930;Липецк;52.61;39.59
27947;Тамбов II;52.73;41.46
27962;Пенза;53.11;45.01
28116;Кудымкар;58.98;54.65
28224;Пермь I;58.01;56.3
28255;Туринск;58.05;63.68
28275;Тобольск;58.15;68.18
28367;Тюмень;57.15;65.5
28382;Усть-Ишим;57.71;71.18
28411;Ижевск;56.81;53.26
28418;Сарапул;56.46;53.81
28419;Янаул;56.26;54.9
28440;Екатеринбург;56.8;60.63
28469;Вагай;56.29;67.22
28493;Тара;56.9;74.38
28506;Елабуга;55.76;52.06
28602;Чистополь;55.35;50.61
28621;Бирск;55.41;55.53
28642;Челябинск II;55.3;61.53
28661;Курган;55.46;65.4
28698;Омск;54.93;73.4
28722;Уфа;54.75;56
28748;Троицк;54.08;61.61
28806;Бугуруслан;53.63;52.41
28807;Самара(Смышляевка);53.23;50.43
28838;Магнитогорск I;53.35;59.08
29231;Колпашево II;58.3;82.9
29253;Лосиноборское;58.43;89.36
29263;Енисейск;58.45;92.15
29313;Пудино;57.53;79.36
29430;Томск I;56.43;84.96
29557;Тисуль;55.75;88.31
29570;Красноярск I;56.03;92.75
29581;Канск;56.2;95.68
29605;Татарск;55.2;75.96
29612;Барабинск;55.36;78.4
29634;Новосибирск;55.03;82.9
29698;Нижнеудинск;54.88;99.03
29706;Купино;54.36;77.28
29838;Барнаул I;53.33;83.7
29846;Новокузнецк;53.73;87.18
29862;Хакасская;53.76;91.31
29999;Орлик II;52.5;99.81
30028;Ика;59.28;106.16
30054;Витим;59.45;112.58
30117;Усть-Илимск;58.03;102.73
30173;Тяня;59;119.8
30253;Бодайбо;57.85;114.2
30328;Орлинга;56.05;105.83
30372;Чара;56.91;118.36
30385;Усть-Нюкжа;56.58;121.48
30405;Тангуй;55.38;100.96
30455;Уакит;55.46;113.61
30521;Жигалово;54.8;105.16
30603;Зима;53.93;102.05
30650;Романовка;53.2;112.78
30664;Тунгокочен;53.56;115.56
30686;Игнашино;53.46;122.4
30710;Иркутск;52.26;104.35
30758;Чита II;52.01;113.33
30802;Монды;51.68;100.98
30823;Улан-Удэ;51.8;107.43
30859;Агинское;51.11;114.55
30862;Шилка;51.85;116.01
31004;Алдан;58.61;125.36
31054;Усть-Юдома;59.18;135.15
31088;Охотск;59.36;143.2
31097;Ушки;59.21;146.21
31123;Чюльбю;57.76;130.9
31137;Токо;56.28;131.13
31168;Аян;56.45;138.15
31199;Унаха;55.02;126.48
31300;Зея;53.75;127.23
31338;Селемджа;53.08;133.58
31348;Бурукан;53.05;136.03
31489;Горин;51.26;136.58
31510;Благовещенск;50.26;127.5
31532;Чекунда;50.81;132.16
31713;Биробиджан;48.7;132.88
31735;Хабаровск II;48.51;135.16
31754;Тивяку;48.6;137.05
31770;Советская Гавань;48.96;140.33
31829;Золотой;47.31;138.98
31873;Дальнереченск;45.86;133.73
31909;Терней;45.03;136.66
31913;Турий Рог;45.21;131.98
31942;Самарка;44.75;134.2
31959;Рудная Пристань;44.36;135.85
31960;Владивосток;43.11;131.89
31981;Анучино;43.96;133.06
31989;Преображение;42.9;133.89
32061;Александровск-Сахалинский;50.9;142.16
32098;Поронайск;49.21;143.1
32150;Южно-Сахалинск;46.91;142.71
32227;Палана;59.08;159.97
32252;Усть-Воямполка;58.5;159.16
32389;Ключи;56.31;160.83
32411;Ича;55.7;155.63
32447;Долиновка;55.11;159.06
32509;Семячик;54.08;159.95
32564;Октябръская;52.66;156.22
32583;Петропавловск-Камчатск. II;52.98;158.65
34009;Курск;51.65;36.18
34123;Воронеж II;51.7;39.21
34152;Балашов;51.55;43.15
34171;Саратов;51.56;46.03
34214;Белгород;50.58;36.58
34363;Камышин;50.07;45.41
34560;Волгоград I;48.68;44.35
34581;Урда;48.75;47.43
34730;Ростов-На-Дону I;47.25;39.81
34866;Яшкуль;46.18;45.35
34880;Астрахань;46.28;48.05
34929;Краснодар;45.03;39.15
34954;Светлоград;45.35;42.85
35121;Оренбург;51.75;55.1
36034;Рубцовск;51.5;81.21
36061;Турочак;52.26;87.16
36096;Кызыл;51.71;94.5
36104;Сарыг-Сеп;51.5;95.56
37006;Новороссийск;44.71;37.84
37054;Минеральные Воды;44.21;43.1
37085;Кочубей;44.4;46.55
37171;Адлер;43.43;39.9
37212;Нальчик;43.5;43.61
37228;Владикавказ;43.05;44.65
37235;Грозный;43.34;45.67
37472;Махачкала;43.01;47.43
29998;Орлик I;52.5;99.81
22114;Мурмаши;68.81;32.8
22204;Ковдор;67.56;30.38
22217;Кандалакша;67.13;32.43
22235;Красноселье;67.35;37.05
22324;Умба;66.68;34.35
22408;Калевала;65.21;31.16
22522;Кемь-Порт;64.98;34.8
22559;Холмогоры;64.21;41.66
22573;Лешуконское;64.9;45.76
22602;Реболы;63.83;30.81
22656;Емецк;63.46;41.75
22671;Карпогоры;63.98;44.45
22695;Кослан;63.45;48.9
22749;Конево;62.13;39.3
22802;Сортовала;61.71;30.71
22831;Пудож;61.8;36.55
22837;Вытегра;61.01;36.45
22854;Няндома;61.66;40.18
22891;Сосново;60.55;30.31
